province;longitude
AK;-151.241555
AL;-86.697132
AR;-94.357819
AZ;-114.340307
CA;-122.012748
CO;-105.052851
CT;-73.061353
DE;-75.717781
FL;-87.335295
GA;-84.721693
IA;-93.696981
ID;-116.907026
IL;-89.078393
IN;-87.217484
KS;-100.857397
KY;-87.483572
LA;-93.014612
MA;-72.62863
MD;-78.756651
MI;-87.455973
MN;-95.593123
MO;-94.80418
MS;-88.703727
MT;-114.002163
NC;-83.205132
ND;-102.787554
NE;-97.436264
NH;-70.977465
NJ;-75.088329
NM;-106.5516172
NV;-119.862173
NY;-77.690729
OH;-84.525454
OK;-97.54906
OR;-123.368033
PA;-80.356756
SC;-82.466458
SD;-103.15038
TN;-87.3397
TX;-106.433291
UT;-112.025566
VA;-80.690316
WA;-122.933101
WI;-91.853035
